"height","gender","zipCode"
56,"M","61401"
58,"F","61401"
62,"F","61401"
62,"F","61401"
63,"M","61401"
63,"F","61401"
64,"F","61401"
64,"F","61401"
64,"F","61401"
64,"F","61401"
65,"M","61401"
65,"M","61401"
65,"F","61401"
65,"F","61401"
66,"M","61401"
66,"F","61401"
66,"F","61401"
66,"F","61401"
66,"F","61401"
67,"M","61401"
67,"F","61401"
68,"M","61401"
68,"M","61401"
68,"F","61401"
68,"F","61401"
68,"F","61401"
68,"F","61401"
69,"M","61401"
69,"F","61401"
69,"F","61401"
70,"M","61401"
70,"M","61401"
70,"M","61401"
71,"M","61401"
71,"M","61401"
71,"F","61401"
71,"F","61401"
71,"F","61401"
71,"F","61401"
72,"M","61401"
72,"M","61401"
72,"F","61401"
72,"F","61401"
73,"M","61401"
73,"M","61401"
73,"M","61401"
73,"M","61401"
73,"M","61401"
74,"M","61401"
75,"M","61401"
75,"M","61401"
75,"M","61401"
75,"F","61401"
75,"F","61401"
76,"M","61401"
77,"M","61401"
77,"M","61401"
60,"F","61401"
61,"F","61401"
62,"F","61401"
63,"F","61401"
63,"F","61401"
63,"F","61401"
64,"M","61401"
64,"M","61401"
64,"F","61401"
65,"F","61401"
65,"F","61401"
65,"F","61401"
66,"F","61401"
66,"F","61401"
66,"F","61401"
66,"F","61401"
67,"M","61401"
67,"M","61401"
67,"F","61401"
67,"F","61401"
67,"F","61401"
68,"M","61401"
68,"F","61401"
68,"F","61401"
68,"F","61401"
68,"F","61401"
68,"F","61401"
69,"M","61401"
69,"M","61401"
69,"M","61401"
69,"M","61401"
69,"F","61401"
69,"F","61401"
69,"F","61401"
69,"F","61401"
69,"F","61401"
69,"F","61401"
69,"F","61401"
69,"F","61401"
69,"F","61401"
70,"M","61401"
70,"M","61401"
70,"F","61401"
70,"F","61401"
70,"F","61401"
71,"M","61401"
71,"M","61401"
71,"F","61401"
72,"M","61401"
72,"M","61401"
73,"M","61401"
73,"M","61401"
74,"M","61401"
74,"M","61401"
74,"M","61401"
74,"M","61401"
75,"M","61401"
75,"M","61401"
76,"M","61401"
76,"M","61401"
76,"M","61401"
77,"M","61401"
78,"M","61401"
81,"M","61401"
59,"F","61401"
60,"M","61401"
61,"F","61401"
62,"M","61401"
62,"F","61401"
62,"F","61401"
64,"F","61401"
64,"F","61401"
64,"F","61401"
64,"F","61401"
65,"M","61401"
65,"M","61401"
65,"M","61401"
65,"F","61401"
66,"M","61401"
66,"F","61401"
66,"F","61401"
67,"M","61401"
67,"F","61401"
68,"M","61401"
68,"M","61401"
68,"M","61401"
68,"M","61401"
68,"M","61401"
68,"F","61401"
68,"F","61401"
68,"F","61401"
69,"M","61401"
69,"M","61401"
69,"M","61401"
69,"F","61401"
69,"F","61401"
69,"F","61401"
69,"F","61401"
70,"M","61401"
70,"F","61401"
70,"F","61401"
71,"M","61401"
71,"M","61401"
71,"M","61401"
71,"F","61401"
71,"F","61401"
71,"F","61401"
72,"M","61401"
73,"M","61401"
73,"M","61401"
73,"M","61401"
74,"M","61401"
76,"M","61401"
76,"M","61401"
77,"M","61401"
77,"M","61401"
77,"M","61401"
77,"M","61401"
78,"M","61401"
79,"M","61401"
